Mot;Segmentation graphèmes;Segmentation phonèmes;GPMATCH
abeille;.a.b.e.ill.e;.a.b.E.j.#;(a-a.b-b.e-E.ill-j.e-#)
ami;.a.m.i;.a.m.i;(a-a.m-m.i-i)
âne;.â.n.e;.A.n.#;(â-A.n-n.e-#)
arc;.a.r.c;.a.R.k;(a-a.r-R.c-k)
avion;.a.v.i.on;.a.v.j.§;(a-a.v-v.i-j.on-§)
balai;.b.a.l.ai;.b.a.l.E;(b-b.a-a.l-l.ai-E)
balle;.b.a.ll.e;.b.a.l.#;(b-b.a-a.ll-l.e-#)
barque;.b.a.r.qu.e;.b.a.R.k.*;(b-b.a-a.r-R.qu-k.e-*)
bateau;.b.a.t.eau;.b.a.t.O;(b-b.a-a.t-t.eau-O)
bébé;.b.é.b.é;.b.e.b.e;(b-b.é-e.b-b.é-e)
bec;.b.e.c;.b.E.k;(b-b.e-E.c-k)
blaireau;.b.l.ai.r.eau;.b.l.E.R.O;(b-b.l-l.ai-E.r-R.eau-O)
blé;.b.l.é;.b.l.e;(b-b.l-l.é-e)
bleu;.b.l.eu;.b.l.2;(b-b.l-l.eu-2)
bois;.b.oi.s;.b.wA.#;(b-b.oi-wA.s-#)
bol;.b.o.l;.b.o.l;(b-b.o-o.l-l)
bougie;.b.ou.g.i.e;.b.u.Z.i.#;(b-b.ou-u.g-Z.i-i.e-#)
brun;.b.r.un;.b.R.1;(b-b.r-R.un-1)
bulle;.b.u.ll.e;.b.y.l.#;(b-b.u-y.ll-l.e-#)
cadeau;.c.a.d.eau;.k.a.d.O;(c-k.a-a.d-d.eau-O)
cerf;.c.e.r.f;.s.E.R.#;(c-s.e-E.r-R.f-#)
chaise;.ch.ai.s.e;.S.E.z.#;(ch-S.ai-E.s-z.e-#)
chapeau;.ch.a.p.eau;.S.a.p.O;(ch-S.a-a.p-p.eau-O)
chat;.ch.a.t;.S.a.#;(ch-S.a-a.t-#)
châtaignier;.ch.â.t.ai.gn.i.er;.S.A.t.e.N.#.e;(ch-S.â-A.t-t.ai-e.gn-N.i-#.er-e)
chausson;.ch.au.ss.on;.S.O.s.§;(ch-S.au-O.ss-s.on-§)
chêne;.ch.ê.n.e;.S.E.n.#;(ch-S.ê-E.n-n.e-#)
chenille;.ch.e.n.ill.e;.S.*.n.ij.#;(ch-S.e-*.n-n.ill-ij.e-#)
chèvre;.ch.è.v.r.e;.S.E.v.R.*;(ch-S.è-E.v-v.r-R.e-*)
chien;.ch.i.en;.S.j.5;(ch-S.i-j.en-5)
chocolat;.ch.o.c.o.l.a.t;.S.o.k.o.l.a.#;(ch-S.o-o.c-k.o-o.l-l.a-a.t-#)
cinq;.c.in.q;.s.5.k;(c-s.in-5.q-k)
cinq;.c.in.q;.s.5.k;(c-s.in-5.q-k)
cirque;.c.i.r.qu.e;.s.i.R.k.*;(c-s.i-i.r-R.qu-k.e-*)
citron;.c.i.t.r.on;.s.i.t.R.§;(c-s.i-i.t-t.r-R.on-§)
clef;.c.l.e.f;.k.l.e.#;(c-k.l-l.e-e.f-#)
clou;.c.l.ou;.k.l.u;(c-k.l-l.ou-u)
coq;.c.o.q;.k.o.k;(c-k.o-o.q-k)
corde;.c.o.r.d.e;.k.o.R.d.*;(c-k.o-o.r-R.d-d.e-*)
dauphin;.d.au.ph.in;.d.O.f.5;(d-d.au-O.ph-f.in-5)
deux;.d.eu.x;.d.2.#;(d-d.eu-2.x-#)
dindon;.d.in.d.on;.d.5.d.§;(d-d.in-5.d-d.on-§)
dix;.d.i.x;.d.i.s;(d-d.i-i.x-s)
doux;.d.ou.x;.d.u.#;(d-d.ou-u.x-#)
dur;.d.u.r;.d.y.R;(d-d.u-y.r-R)
écharpe;.é.ch.a.r.p.e;.e.S.a.R.p.*;(é-e.ch-S.a-a.r-R.p-p.e-*)
élan;.é.l.an;.e.l.@;(é-e.l-l.an-@)
éléphant;.é.l.é.ph.an.t;.e.l.e.f.@.#;(é-e.l-l.é-e.ph-f.an-@.t-#)
épée;.é.p.é.e;.e.p.e.#;(é-e.p-p.é-e.e-#)
éponge;.é.p.on.g.e;.e.p.§.Z.#;(é-e.p-p.on-§.g-Z.e-#)
épouvantail;.é.p.ou.v.an.t.a.il;.e.p.u.v.@.t.a.j;(é-e.p-p.ou-u.v-v.an-@.t-t.a-a.il-j)
escargot;.e.s.c.a.r.g.o.t;.E.s.k.a.R.g.O.#;(e-E.s-s.c-k.a-a.r-R.g-g.o-O.t-#)
étagère;.é.t.a.g.è.r.e;.e.t.a.Z.E.R.#;(é-e.t-t.a-a.g-Z.è-E.r-R.e-#)
été;.é.t.é;.e.t.e;(é-e.t-t.é-e)
étoile;.é.t.oi.l.e;.e.t.wa.l.#;(é-e.t-t.oi-wa.l-l.e-#)
étui;.é.t.u.i;.e.t.8.i;(é-e.t-t.u-8.i-i)
eucalyptus;.eu.c.a.l.y.p.t.u.s;.2.k.a.l.i.p.t.y.s;(eu-2.c-k.a-a.l-l.y-i.p-p.t-t.u-y.s-s)
éventail;.é.v.en.t.a.il;.e.v.@.t.a.j;(é-e.v-v.en-@.t-t.a-a.il-j)
faon;.f.aon;.f.@;(f-f.aon-@)
faucon;.f.au.c.on;.f.O.k.§;(f-f.au-O.c-k.on-§)
fauteuil;.f.au.t.eu.il;.f.O.t.9.j;(f-f.au-O.t-t.eu-9.il-j)
fée;.f.é.e;.f.e.#;(f-f.é-e.e-#)
feu;.f.eu;.f.2;(f-f.eu-2)
feuille;.f.eu.ill.e;.f.9.j.#;(f-f.eu-9.ill-j.e-#)
fil;.f.i.l;.f.i.l;(f-f.i-i.l-l)
flèche;.f.l.è.ch.e;.f.l.E.S.#;(f-f.l-l.è-E.ch-S.e-#)
fleur;.f.l.eu.r;.f.l.9.R;(f-f.l-l.eu-9.r-R)
fleur;.f.l.eu.r;.f.l.9.R;(f-f.l-l.eu-9.r-R)
fleur;.f.l.eu.r;.f.l.9.R;(f-f.l-l.eu-9.r-R)
flocon;.f.l.o.c.on;.f.l.o.k.§;(f-f.l-l.o-o.c-k.on-§)
fou;.f.ou;.f.u;(f-f.ou-u)
four;.f.ou.r;.f.u.R;(f-f.ou-u.r-R)
fraise;.f.r.ai.s.e;.f.R.E.z.#;(f-f.r-R.ai-E.s-z.e-#)
fromage;.f.r.o.m.a.g.e;.f.R.o.m.a.Z.#;(f-f.r-R.o-o.m-m.a-a.g-Z.e-#)
fumée;.f.u.m.é.e;.f.y.m.e.#;(f-f.u-y.m-m.é-e.e-#)
fusée;.f.u.s.é.e;.f.y.z.e.#;(f-f.u-y.s-z.é-e.e-#)
gant;.g.an.t;.g.@.#;(g-g.an-@.t-#)
garçon;.g.a.r.ç.on;.g.a.R.s.§;(g-g.a-a.r-R.ç-s.on-§)
gâteau;.g.â.t.eau;.g.A.t.O;(g-g.â-A.t-t.eau-O)
gaufre;.g.au.f.r.e;.g.O.f.R.*;(g-g.au-O.f-f.r-R.e-*)
gazelle;.g.a.z.e.ll.e;.g.a.z.E.l.#;(g-g.a-a.z-z.e-E.ll-l.e-#)
